ID0001,Item1,948,2025-09-21
ID0002,Item2,802,2025-10-26
ID0003,Item3,217,2025-08-31
ID0004,Item4,148,2026-02-14
ID0005,Item5,246,2026-03-02
ID0006,Item6,990,2025-06-28
ID0007,Item7,131,2026-04-16
ID0008,Item8,493,2026-01-12
ID0009,Item9,519,2025-09-09
ID0010,Item10,297,2025-07-25
ID0011,Item11,554,2025-11-16
ID0012,Item12,576,2026-03-05
ID0013,Item13,239,2025-06-14
ID0014,Item14,999,2025-10-18
ID0015,Item15,545,2026-04-01
ID0016,Item16,590,2025-10-06
ID0017,Item17,552,2025-06-13
ID0018,Item18,328,2025-12-31
ID0019,Item19,52,2026-02-25
ID0020,Item20,324,2026-01-18
ID0021,Item21,725,2025-05-10
ID0022,Item22,84,2025-07-29
ID0023,Item23,893,2025-10-09
ID0024,Item24,507,2026-02-20
ID0025,Item25,784,2025-05-30
ID0026,Item26,399,2025-11-19
ID0027,Item27,123,2025-05-21
ID0028,Item28,564,2025-06-17
ID0029,Item29,358,2026-03-06
ID0030,Item30,278,2025-11-14
ID0031,Item31,483,2025-11-26
ID0032,Item32,436,2026-01-03
ID0033,Item33,610,2025-09-23
ID0034,Item34,447,2026-03-02
ID0035,Item35,156,2026-04-06
ID0036,Item36,90,2026-02-23
ID0037,Item37,55,2025-10-13
ID0038,Item38,140,2025-08-26
ID0039,Item39,601,2025-10-03
ID0040,Item40,71,2025-05-01
ID0041,Item41,131,2025-12-18
ID0042,Item42,225,2025-07-03
ID0043,Item43,460,2026-01-26
ID0044,Item44,347,2025-07-29
ID0045,Item45,328,2025-07-16
ID0046,Item46,457,2025-07-30
ID0047,Item47,455,2025-06-11
ID0048,Item48,382,2025-08-20
ID0049,Item49,639,2025-05-27
ID0050,Item50,484,2026-04-03
